"","X","text","score","polarity"
"2106",2106," pitiful government wants send trillion dollars ukraine lets people stay underpaid cant get paid sick leave abomination much sick leave government employees get jetting around people carry weight",-4,"Negatif"
"2107",2107," hundreds billions give ukraine money border wall ",0,"Netral"
"2108",2108,"remember couldnt pay secure border send hundreds billions ukraine remember ",1,"Positif"
"2109",2109," vast majority im justifying im trying understand point youre trying make oun committed genocide ukraine celebrates heroes thats problematic",-2,"Negatif"
"2110",2110," supporting kayne west says hes nazi goes ukraine argument",1,"Positif"
"2111",2111,"remember okay like hitler youre ukrainian fighting russia okay support nazis ukraine okay support israel ethnical cleansing palestine like nazis yet kanye wests statements actions madman",2,"Positif"
"2112",2112," mean sure fire bills like sending trillions ukraine ",1,"Positif"
"2113",2113,"opinion ukraine needs patriot batteries better missiledefense ",0,"Netral"
"2114",2114,"andriy yermak head ukrainian presidential office ukraine russia trying freeze us submission death fail mass starvation stalins reign killed millions holodomor years ago russia chosen path terror tg ",-3,"Negatif"
"2115",2115," feel american people suffer hurricane ukraine ",-1,"Negatif"
"2117",2117," support ukraine thick blue check mark bandwagon jumper well mark certainly trying top list amazing paychecks disney get say",4,"Positif"
"2118",2118,"wb chief cost rebuilding ukraine rising imf ukraine war affecting global economy india ready global top table germany belgium qatar world cup watch news hour catch latest updates ",2,"Positif"
"2119",2119," russia test flying nuclearcapable bombers within range border ukraine ",0,"Netral"
"2120",2120," greed well uk though billionaires unfortunately enough money maintain proxy war ukraine us cant afford pay whole bill workers pensioners tighten belts ",3,"Positif"
"2121",2121," conversation worth hearing weapons ukraine needs air war ",1,"Positif"
"2122",2122," remember okay like hitler youre ukrainian fighting russia okay support nazis ukraine okay support israel ethnical cleansing palestine like nazis yet kanye wests statements actions madman",2,"Positif"
"2123",2123," like drug dealer st ones free youre hookedwell know starlink nearly doubles satellite internet terminal prices ukraine via ",1,"Positif"
"2125",2125," people want know democrats signed blank check ukraine fuacci pressed issue rand paul ",-1,"Negatif"
"2126",2126," besides fact ukraine actually allows white supremacist openly serve still hasnt admitted fault missle strike poland ",-1,"Negatif"
"2127",2127,"mine explodes kherson region ukrainian forces demines area credible news ",0,"Netral"
"2129",2129," logic send ukraine since put bio ",0,"Netral"
"2130",2130," need someone office isnt money laundering ukraine",0,"Netral"
"2131",2131," didnt anything wrong ukraine war started people like started saying putin apologist reality snowden done nothing",1,"Positif"
"2132",2132,"ukraines military casualties presidential adviser podolyak ",0,"Netral"
"2133",2133," least racist fascist ukraine supporter probably thinks culturally ethnically russian people donbass invaders land actual invaders indigenous",-1,"Negatif"
"2134",2134," mariupol native city two months russian terrorists start invasion city literally flatten exist anymore russia pure evil must stop exists today format weapons ukraine ",1,"Positif"
"2136",2136," needs long range weapons hit firing missiles ",0,"Netral"
"2137",2137," way ukraine sink ferries",-1,"Negatif"
"2138",2138," lets protect border first didnt want single dime tax money go ukraine lastly wont audit goldsilver stolen ",0,"Netral"
"2139",2139," lmaoso u call bengazhi inv gowdy n gop house u call clinton server inv fbi u may like outcome investigation dems dont like outcome trump blackmailed ukraine staged coup losing election bad thats system",1,"Positif"
"2140",2140," much ive paid ukraine acre beach crimea billion",0,"Netral"
"2141",2141,"absolutely hilarious russia denounces kherson presents miserable plan save crimea ",0,"Netral"
"2142",2142,"australian crypto reform finds fresh urgency amidst russias invasion inukraine ",0,"Netral"
"2143",2143," ukraine spending insane know corruption goes deep accountability severely lacking us kids grandkids need men like right short sidedness cost future",1,"Positif"
"2145",2145," statue george floyd bedroom still hero still funding blm founders mansions probably ukraines money right jokes ",0,"Netral"
"2146",2146," united nations said thursday asking member states record us billion aid funding next year disasters ongoing war ukraine drive humanitarian needs worldwide ",0,"Netral"
"2147",2147," literally ukraine flag bio ",0,"Netral"
"2148",2148," stop masses spending problem stop think masses federal government like godzilla eating hong kong money far square ever time biden sends money ukraine hes killing us debt works ways",0,"Netral"
"2149",2149," rage support ukraine havent seen cant understand someone claims freedom speech ukraine ukrainians lose freedom speech keep viva lead example",3,"Positif"
"2150",2150,"homelessness housing crisis food banks pandemic ukraine years tory economic botching brexit crooked wealth creation agree need follow ",-1,"Negatif"
"2151",2151," secret success training olympics fifa world cup ukraine train hard train smart train best push past past solid piece reporters read interflex ",1,"Positif"
"2152",2152," europe news ukraine war zelensky aide reveals war dead western casualty estimates suggest ukrainian soldiers killed wounded ",-3,"Negatif"
"2154",2154," believe china concentration camps much war ukraine nothing propaganda media world become one big feature film",0,"Netral"
"2155",2155,"beltway insider bidenthanksgiving vp russiaukraine italy china covidvaccine totals idaho murders ",0,"Netral"
"2156",2156," please allow back ukraine proper plan degree future",0,"Netral"
"2157",2157,"congratulations awarded vicechancellors special award excellence important role colead team anu staff organised special address president ukraine earlier year",2,"Positif"
"2158",2158,"nato initiate talks russian find solution end russian ukraine war war solution end conflict ",0,"Netral"
"2160",2160," except incomes outpace inflation causing billions sent ukraine want see receipt",0,"Netral"
"2161",2161,"ukraine update russia completes conquest republican party ukraine holds ",0,"Netral"
"2162",2162," makes sad people ukraine deserve better rebirth country support us",1,"Positif"
"2164",2164,"intellect cannon fodder precision weapons work well good russians ",3,"Positif"
"2165",2165," youre right without generous assistance ukraine kyiv falls russian hordes",0,"Netral"
"2166",2166," ukraine war",0,"Netral"
"2167",2167," also us intervention middle east invasion ukraine consistent none guys mirror reflections reactionary right love twitter shows yall exist sobering",1,"Positif"
"2169",2169," urss russia ukraine afghanistan ",0,"Netral"
"2170",2170," hey russians ukraine safe home maybe want suicide ukrainian",0,"Netral"
"2171",2171,"russia suffering colossal military losses intense battle ukraine ",0,"Netral"
"2172",2172," yes arming ukraine imperialist revanchist invasion cool good actually really assmad youre trying dig post history month back fail gotcha lmao see youve got nothing claiming falsely ",0,"Netral"
"2174",2174," russia invaded ukraine february obama biden wh russia held two regions ukraine since expanded invasion since google democrat republican inspired invasion since parties wh since ",0,"Netral"
"2175",2175," amazing ppl care much taxes care less exactly billions tax dollars going ukraine maybe care ",0,"Netral"
"2176",2176," racism effective tool used oppressive governments throughout history discussion familiar russian soviet variation theme ",0,"Netral"
"2178",2178," hunter biden secrets solving inflation border crisis crime gas prices ukraine supply chain issues",0,"Netral"
"2179",2179," yes absurd comparison ukraine million people military supplied major western powers afghanistan million people guerillas received us stingers ammo kalashnikovs",-1,"Negatif"
"2180",2180," jailmate reveal shocking truth head russian wagner mercenaries ",0,"Netral"
"2181",2181," myriad donations ukraine think fair give ru forces hand holiday season lets supply every invader one token goodwill winter ",1,"Positif"
"2182",2182,"zelensky announces crackdown moscowaffiliated orthodox church ukraine thepillar ",0,"Netral"
"2183",2183," im saying anything questions whats balenciagas relationship corrupt ukraine actors ",0,"Netral"
"2184",2184," listened ithe goes talking ukrainesuch good talkerthats ",1,"Positif"
"2185",2185," ukraine defence lines started collapsing know means building ukraine getting killedits like ukraine kills one russian russia killing ukraines",-1,"Negatif"
"2187",2187," absolutely brilliant ukraine needs also attack sides ",0,"Netral"
"2188",2188," oh please colleagues clearly sided russia better part year ever since russias illegal occupation ukraine began lying trump sycophant",0,"Netral"
"2189",2189,"ursula wild dame tweeted ukraine losing military world see tweets gutted edited clearly washington obkom called dame order didnt go easy looks rather humiliating theres eu st state",0,"Netral"
"2190",2190," lolol",0,"Netral"
"2191",2191," give ukraine atacms himars please",0,"Netral"
"2192",2192," values principles french pres emmanuel macron said hes confident us continue provide aid ukraine added important stability world ",2,"Positif"
"2193",2193,"us president joe biden said late thursday willing speak vladimir putin first time since ukraine invasion russian leader truly wants end war ",1,"Positif"
"2194",2194," bet money ukraine climate two things thats top mind like say",1,"Positif"
"2195",2195," partially ukraine",0,"Netral"
"2196",2196," solve problem inflation crisis border war ukraine youre clown ",-2,"Negatif"
"2197",2197,"ukraine war excellent shot manpads russian mil mi flew vain low ",0,"Netral"
"2198",2198," ukraine poor country less diciplines many conscript ukraine armed forces thats even get supplied western never take kherson force",-1,"Negatif"
"2199",2199," still possible military left ukraine macron stop shill",0,"Netral"
"2201",2201," gets worse creative director balenciaga became ambassador ukraine recovery program designed help temporarily displaced people guy rubber stamped bdsm child photos helping ukraine homeless include children ",0,"Netral"
"2202",2202," use roles pressure ",0,"Netral"
"2203",2203,"poll shows drop support military supplies ukraine ",1,"Positif"
"2204",2204," slava ukraine",0,"Netral"
"2205",2205,"former president poroshanko speaks frankly us staying course support ukraine ",1,"Positif"
"2206",2206," big guy hunter making crazy money deals chinaukraine much money laundered ukraine",-1,"Negatif"
"2207",2207," isnt anybody suing ukraine giveaway",0,"Netral"
"2208",2208," people ukraine grateful americans support",1,"Positif"
"2209",2209," russia must leave ukraine peaceful nation russia st century nazi russia officially confirmed terrorist state ",1,"Positif"
"2210",2210," russians ukraine couldnt kill russians returned russia safe ",-1,"Negatif"
"2212",2212," difficult winter electric blankets small ones putting body effective way keep warm day time work night sleep rather whole house heater way produce locally buy lot ukraine",2,"Positif"
"2214",2214,"lion cubs abandoned ukraine find new home minnesota ",0,"Netral"
"2215",2215," biden administrations fear provoking putin risking world war iii become excuse less ukraine ",-2,"Negatif"
"2216",2216," yes prepared ",0,"Netral"
"2217",2217," ukrainian hacker group claims obtained emails vladislav surkov top aide russian president vladimir putin whichdetail purported kremlin plan destabilize ukraine ",1,"Positif"
"2218",2218,"interesting article basically concedes much written western press false ",0,"Netral"
"2219",2219,"ukraine stops russian assaults current ukraine war footage news enforcer day ",0,"Netral"
"2220",2220," cares hair cares tax returns im concerned joe biden money laundering china ukraine think wants give ukraine much money much stuff son son sex",-1,"Negatif"
"2221",2221," multiple scientific studies concluded covid came although show lab leak animal human jump gop wants political inquiry scientific congress know ukraine money going",-1,"Negatif"
"2222",2222," people losing minds symbol support usa funding proxy war ukraine go figure",0,"Netral"
"2223",2223," nato new country destroy forget ukraine",-1,"Negatif"
"2224",2224," reminder egos solution give ukraine back russia let ukraine vote wanted independence russiayou know russia fair elections",1,"Positif"
"2225",2225," maybe kill military thi way mand course scrutinizing ukraine funding without justification allow skim funds pork projects best party hasnt even given thee green light become speaker",-1,"Negatif"
"2226",2226," think became actual nazi left internet years ago hes probably dead ditch somewhere ukraine",-1,"Negatif"
"2227",2227,"remember congress didnt billion dollars build wall billion send ukraine democrats america last",0,"Netral"
"2228",2228," also look ukraine profited old agreement see eu say sudden coup strange",0,"Netral"
"2229",2229," fail cover nazis ukraine ",-1,"Negatif"
"2231",2231," lie ukraine lost entirely armed force force fighting ukraine nato propaganda tool swindle money sponsors",-3,"Negatif"
"2233",2233," calling every fp isnt extreme isolationism neocon destroying meaning word neocon project involved invading forcibly converting tribal tyrannies liberal democracy unprecedented pace foolish thats whats happening ukraine",-1,"Negatif"
"2234",2234," vile putin puppet supporting corrupt regime bombed maternity hospitals broken nonaggression treaties ukraine looted country stolen billions poor russians pay massive yachts huge property empires pathetic",-4,"Negatif"
"2235",2235,"john mearshimer may greatest living expert ukrainerussia dynamics video west playing russian roulette via ",1,"Positif"
"2236",2236," feel american people suffering hurricane ukraine ",-1,"Negatif"
"2237",2237," russia lost maybe month ago know ukraine lies yet believe number get real ukraine lost dead casualties russia dead casualties",-3,"Negatif"
"2238",2238," yet welcomed back open arms everyone currently dissing expressed heartfelt support azov group ukraine group basically ukrainian nasees western msm rightly called onwards feb",2,"Positif"
"2239",2239," havent giving billions nazis ukraine youre us taxpayer youre supporting nazis moment",1,"Positif"
"2240",2240," nazis ukraine bro ",0,"Netral"
"2241",2241," theres nazi organisation ukraine labelled ukrainians nazis sit well ",1,"Positif"
"2242",2242," ukraine surface obp around ukraine ",0,"Netral"
"2243",2243,"natos secretarygeneral jens stoltenberg praised germany support ukraine also called berlin keep pushing reform upgrade military ",2,"Positif"
"2244",2244," also another kherson professional troops bakhmut ukraine whittles away important fronts zaporizhzhia front collapsing ruf troops trucked melitopol hospitals moving civis admins command away",1,"Positif"
"2245",2245," putin respected trump ukraine invaded trump still power take bank",0,"Netral"
"2247",2247,"ukraine foreign minister said three embassies received threatening letters security officer ukraines embassy madrid suffered light injury one hand opening letter bomb addressed ukrainian ambassador ",-4,"Negatif"
"2248",2248,"god bless ukraine ",0,"Netral"
"2249",2249," speak keep telling story keep think women iran think women afghanistan think women central america africa ukraine speak blaze trail ",0,"Netral"
"2250",2250,"ukrainian saboteurs destroying russian kas military base pskov region russia ",0,"Netral"
"2251",2251," fake account",0,"Netral"
"2252",2252," meat grinder rf mean ile putin puppet supporting corrupt regime bombed maternity hospitals broken nonaggression treaties ukraine looted country stolen billions poor russians pay massive yachts huge property empires",-4,"Negatif"
"2253",2253,"nigerian president complains ukraine war bringing arms manpower terrorists via ",0,"Netral"
"2254",2254," tell ukraine wed like know b ",1,"Positif"
"2255",2255,"zelenskyy says ukrainian special military units kherson associated press zelenskyy says ukrainian special military units khersonthe associated press ",0,"Netral"
"2256",2256," thats true nasa destroyed ukraine help else something brought later",0,"Netral"
"2257",2257," hypocrite fighting ukraine funding americans right",0,"Netral"
"2258",2258," well found nazi lover apologist particularly like jewish website forward annual count many nazi celebrating statues restored many street names changed celebrate nazi collaborators ukraine cheers",4,"Positif"
"2259",2259," ukraine yookreyn proper noun currently active wars planet cnn assured liberals one important therefore one important expected clean room theres war ukraine see ",2,"Positif"
"2260",2260," might agree like shes boring bad shes warparty ukraine",0,"Netral"
"2261",2261," ukraine didnt exist genocide holodomor happen ukraine",-1,"Negatif"
"2262",2262," even true better ukraine hitting poland killing farmers",0,"Netral"
"2264",2264,"winter comes ukraine civilians forced face extremely difficult months ahead russian invasion grinds via ",-1,"Negatif"
"2265",2265,"pray orochi ukraine ",0,"Netral"
"2266",2266," c todays min c todays max c months min c months max c ",0,"Netral"
"2267",2267,"mur fuck lilek innifsek putin maltese ",-1,"Negatif"
"2268",2268," usa helping ukraine also good know actually paid attention last years",2,"Positif"
"2269",2269,"easier ukraine kill mobiks stats show ",-1,"Negatif"
"2271",2271," problem coming together pass spending bill ukraine cant anything base actually wants needs federalist editorinchief mollie hemingway said fox newss special report",-1,"Negatif"
"2272",2272," pray ukraine",0,"Netral"
"2273",2273," hm currently employs people stores worldwide layoffs hardly surprise inflation remains elevated roaring cost production spurred ukraine war bites profits companies",0,"Netral"
"2275",2275," buddy aint even winter yet gonna get worse trying compare ukraine afghanistan absurd",0,"Netral"
"2276",2276,"biden macron vow keep support kyiv russian warship deployment puts ukraine high alert ",1,"Positif"
"2277",2277," highlighted film shows far entities go cover tracks flash forward ukraine wtrump bidenvindmandr hillschiffpelosiet al forward ukraine ",0,"Netral"
"2278",2278," maybe biden didnt end keystone wouldnt rely saudis ukraine war impact bet believe oil companies gouging us pump ",0,"Netral"
"2279",2279," lbjs war poverty ozone hole acid rain new green deal ukraine yk scare",-1,"Negatif"
"2280",2280," saying continue support ukraine money support need defend country defeat putin",3,"Positif"
"2281",2281," heard azov battalion pillar ukraine armed forces",0,"Netral"
"2282",2282,"ecological path peace possible ukraine analysis ",0,"Netral"
"2283",2283,"russian armed forces destroyed column armored vehicles ukrainian nationalist group kraken kharkiv region least ukraine forces killed ",-1,"Negatif"
"2284",2284,"according newly leaked email whistleblower russias federal security service fsb months russias vlad putin began disastrous invasion ukraine planning attacking japan cc ",-1,"Negatif"
"2285",2285," well needs right behind hunter biden joe biden money laundering pedophilia drugs biden exchanging money china ukraine",1,"Positif"
"2286",2286," keep using ukrainian flag retarded acting like helps ukraine seriously top worst pr campaigns time",0,"Netral"
"2287",2287," russia ukraine much business sibling argue ",0,"Netral"
"2288",2288,"tucker carlson find sam bankmanfried janet yellen president zelensky ukraine together one room federal grand jury proceeding good guess theyre getting one instead theyre celebrated new york ",3,"Positif"
"2289",2289,"us president joe biden says hes ready speak vladimir putin russian president ready end ukraine war ",2,"Positif"
"2290",2290," think youre right isnt mark hamill involved sending drones ukraine",-1,"Negatif"
"2291",2291," whatever guess thats better laundering mean sending ukraine",1,"Positif"
"2293",2293," french ambassador united states discusses washington paris oldest allies cooperate responding russias invasion ukraine ",0,"Netral"
"2294",2294," yet still sending nazis ukraine azov neonazi groups part military money hand fist ",0,"Netral"
"2295",2295," amount russia spends year entire defense budgets ukraine corrupt want bet lot money ends back dnc coffee sam benkman fried stole billions went fund dnc democrat candidates",-1,"Negatif"
"2296",2296," bs ukraine lost way men like k killed injured",-2,"Negatif"
"2297",2297," prisoners returned ukraine since russian troops invaded prowestern country ukrainian president volodymyr zelensky said late thursday ",0,"Netral"
"2300",2300," support neonazis ukraine ",1,"Positif"
"2301",2301," russia struggles ukraine repression mounts home cnn courtesy rick kirkham inventor passive affiliate marketing income system kirkhams cash system subscribe following twitter incomewebsites ",-2,"Negatif"
"2303",2303," two far eastern provinces ukraine cant leave ukraine without usa going war yet somehow national divorce gonna happen south carolina random example bed boeing multiple automakers google et al possible",0,"Netral"
"2304",2304,"enough enough donating every sale ukraine cause still decide money go open ideas encourage companies similar ",1,"Positif"
"2305",2305,"australian wool price plummets china covid lockdowns ukraine war floods inflation take toll via ",-1,"Negatif"
"2306",2306,"foreign companies help guide russian missiles fired ukraine ukrainian defence ministrys intelligence directorate published list companies produce microchips used guide russian missiles jpost ",0,"Netral"
"2308",2308," support ukraine right ",1,"Positif"
"2309",2309,"russian combat losses war fronts including donetsk kharkiv fronts dec according armed forces ukraine ",-1,"Negatif"
"2310",2310,"french president emmanuel said white house continue hold talks russian president vladimir conflict seeking nonescalation concrete things ",0,"Netral"
"2311",2311," know ur london uk worried ukraine european collectively want whole world discuss ur problem europe anything us afghanistan attack infact help dictators provided arms hold grudge cause",-4,"Negatif"
"2312",2312," stop telling bs",0,"Netral"
"2313",2313," mikey love military scott ritter explain russia ukraine like boss hes marine strategist ",2,"Positif"
"2314",2314," arent giving billions nazis ukraine good bad nazis days",0,"Netral"
"2315",2315," nope clue makes sense double speak biden helped ukraine need hate giant political game",0,"Netral"
"2316",2316," dear putin keep earned please withdrawal lives need lost ukraine needs stay away nato people capable producing better ideas whole single individual",2,"Positif"
"2317",2317," youre confused nazis azov battalion fighting ukraine",0,"Netral"
"2318",2318," result shelling least one civilian killed two others injured peoples militia lpr also reported armed forces ukraine fired three missiles svatovo using usmade himars mlrs",-1,"Negatif"
"2320",2320,"fighting outskirts donetsk accompanied constant shelling civilian settlements armed forces ukraine past day settlements dpr including capital republic came ukrainian fire",0,"Netral"
"2321",2321," say attack russian military supplies ukraine russian land",-1,"Negatif"
"2322",2322," maybe biden talked putin russia invaded ukraine avoided leader done bad president resides super weenie hut jrs ",-1,"Negatif"
"2323",2323," battle bakhmut ukrainian troops hold amid hail russian artillery ",0,"Netral"
"2324",2324," presumably dismantlement queue perhaps missiles already empty replaced asa perhaps trainers find interesting uk mod actually says warheads removed missiles used ukraine",1,"Positif"
"2325",2325," nazis ukraine foreign nazis support putin russia obvious ukraine isnt nazi",1,"Positif"
"2326",2326," bad hes around see whats going lets face us experts including top pentagon brass thought ukraine toast",0,"Netral"
"2327",2327," really hope first kick asses ukraine georgia ",0,"Netral"
"2328",2328," another hitler situation happening ukraine wake may time drop big one ",0,"Netral"
"2329",2329,"biden says willing talk putin ukraine conditions ",0,"Netral"
"2331",2331," sure get billion sent ukraine back",0,"Netral"
"2332",2332," likely somewhere ukraine",0,"Netral"
"2333",2333,"sheikh mansur battalion engages russians american mk ukraine ",0,"Netral"
"2334",2334," wouldnt ongoing war ukraine also hurting people putin respect abiding citizens rights communist dictator ",0,"Netral"
"2335",2335," feel poor american people suffer horrible hurricane ukraine ",-3,"Negatif"
"2336",2336," making difference america whole world ukraine",0,"Netral"
"2337",2337," explain nazis ukraine makes nazis serious question",0,"Netral"
"2338",2338," high time kenya carry military operation rwanda kama ile russia inafanya ukrainethis guy trying us people drc deserve enjoy peace within countryrwandauganda must pull forces drc restricting border operations",2,"Positif"
"2339",2339," strange occurrence list expensive cities world published yesterday theres reference brexit fact whole world blaming pandemic war ukraine fact london tumbled th ",-3,"Negatif"
"2340",2340," hero legend warrior glory ukraine ",0,"Netral"
"2341",2341," like western ukraine",0,"Netral"
"2342",2342,"lion cubs rescued ukraine get new home minnesota sanctuary ",0,"Netral"
"2343",2343," nazi talk im quietly reflecting fact called nazi supporting ukraine called nazi making fun vindman within past week good times",2,"Positif"
"2344",2344," kanye cant come back neither spent much money nazis ukraine",0,"Netral"
"2345",2345," know bearthe billionaire embezzler owns ukraines biggest tv channel zelensky actor hit political comedy drama show ends president dreams killing members parliament machine guns fking one",-1,"Negatif"
"2346",2346," goes deeper deeper creative director balenciaga fashion house demna became ambassador ukraine recovery program designed help temporarily displaced people via sounds",-1,"Negatif"
"2347",2347," us president joe biden says hes ready speak vladimir putin russian president ready end ukraine war srinjoy chowdhury ",1,"Positif"
"2348",2348," defund ukraine democrats couldnt find votes pass minimum wage voted unanimously crush rail strike",-3,"Negatif"
"2349",2349," stepped security revealing number letter sent highprofile targets including prime minister according media report ",0,"Netral"
"2350",2350," cope many ukraine got ok",0,"Netral"
"2352",2352," speak ill gladly vote send money ukraine",1,"Positif"
"2353",2353," cant give workers want days sick per year problem passing billions dollars ukraine",-2,"Negatif"
"2354",2354," literally support n ukraine bro chill",1,"Positif"
"2355",2355," sent ukraine zelinsky basically demanding either zelinsky knows secret congress getting much laundry done possible everything blows faces ",0,"Netral"
"2356",2356," ukrainians fighting land freedom children nazis russia invaded ukraine killing thousands ukrainians russia modern day nazi ",0,"Netral"
"2357",2357," countries agreed take ukraine natos member world war matter time",0,"Netral"
"2358",2358,"ukraines armed forces lost soldiers since russian invasion official says",-1,"Negatif"
"2359",2359,"ukraines armed forces lost soldiers since russian invasion official says ",-1,"Negatif"
"2360",2360," mean like nazis ukraine democrats supporting funding know crazy unacceptable",1,"Positif"
"2361",2361," concerned disjointed annoyance kanyes nazihitler nonsense threat usukcanada ukraines regaling nazis ukraine worried ye operation paperclips continuing american presence everyone calm ",-3,"Negatif"
"2362",2362," yea help ukraine let work way united states geez helping keeps away ",2,"Positif"
"2363",2363,"moves seven nations impose price cap possibly taking effect early next week unlikely effective means crippling russia conflict ukraine experts say ",-3,"Negatif"
"2365",2365," country working americans pandemic still helping ukraine whats point",1,"Positif"
"2366",2366," ukrainian army hasnt won significant battlefield victory wasnt handed russian army simply walking away didnt feel like taking casualties hold ground couldnt take back later cemetaries ukraine filling ",4,"Positif"
"2367",2367," lol realize russia fascist empire ukraine actually antifascist right ",-1,"Negatif"
"2368",2368," yes biden ties ukraine also ties china helping ukraine become trophy putins audiology bring back cccp force",2,"Positif"
"2369",2369,"us army ukraine",0,"Netral"
"2370",2370," aaaaand ukraine ",0,"Netral"
"2371",2371,"ukrainian drone drops grenade russian soldiers trenches positions near bakhmut ",0,"Netral"
"2373",2373," russia ok best fighting nazis support ukraine support pedophiles tough call",3,"Positif"
"2374",2374," check family eastern ukraine hearing russian news confirmed international news going deport russian people railbus russia sounds like genocide ukrainians east ukraine repopulate ",-1,"Negatif"
"2375",2375," ukraine monkey pox food rationing",0,"Netral"
"2376",2376," stopping ive seen lot rinos ukraine getting photo ops including mcconnell graham",0,"Netral"
"2377",2377," ukrainians claim high moral ground pretending victims ukrainian upas banderites massacre poles hundreds germans hungarians russians jews wwii purify ukraine less monsters",0,"Netral"
"2378",2378," us wanted war happen using ukraine us",0,"Netral"
"2379",2379,"ukrainedefence loading process ukrainian armed forces ",0,"Netral"
"2380",2380," involvement barely get deeper russia targeting gov military targets using weapons ukraine targeted russia assets like bridges assassination cia intelligence russias reaction civilian infrastructure involv many ukes die",1,"Positif"
"2381",2381,"biden macron open talks putin ending ukrainewar ",0,"Netral"
"2384",2384," evil lasts good always triumphed throughtout human history evil hence human life earth today putins ghoulish regime soon become history",0,"Netral"
"2385",2385," ending negotiations barring striking railroad workers apparently forward thinking rooted deeply moral center mention started proxy war ukraine arming nazis sexually assaulted tara reade great man indeed",1,"Positif"
"2386",2386," always talk alpha males challenge fund raiser ukraine trump armed ukraine stood putin years ago putin alpha male trump since trump detur putin alpha males donate ukraine",0,"Netral"
"2387",2387," chance western part ukraine ivano liov vinnytsia due many work projects everywhere well educated peoples nice healthy culture rf probably feared russians also demand wealth nation bastards",5,"Positif"
"2388",2388," chess vs checkers russia targeted attacks infrastructure minimizing loss lives ukraine part ussr drained yrs conflict roughly size texas world nuclear superpower russia twice size us",-3,"Negatif"
"2389",2389," resources ukraine rich lithium russia everything else going planned",1,"Positif"
"2390",2390," anyone upset sent billion dollars corrupt european government history tracking weapons money send ukraine great way launder tax dollars military industrial complex wake america",-1,"Negatif"
"2391",2391," changed things many companies needs wants new repeat customers lets people know idea wont get another dollar thousands others might give damn ukraine care lot money",-1,"Negatif"
"2392",2392," explain gop wants america support ukraine wants us get involved china much chaos want create",0,"Netral"
"2393",2393," florida didnt divest russian assets russia invaded ukraine f happened america first bs wasnt ",-1,"Negatif"
"2394",2394," let ukraine ukrainians suffering country destroyed besides moral support youyourself ever situation happening ukraine indeed carethentry find way end war",0,"Netral"
"2395",2395," lights go kyiv keeps going ingenuity ",0,"Netral"
"2396",2396,"wagner mercs continue encircle bakhmut nov ukraine map update ",0,"Netral"
"2397",2397," curious getting information shes ukraine slob emotional response",0,"Netral"
"2398",2398," sure people ukraine forever grateful high honor russia see bravery sure putin command seas fire immediately",1,"Positif"
"2399",2399," weve arming germans ukraine since holy shit must five thousand people weve armed",0,"Netral"
"2400",2400," isnt even ukraine ",0,"Netral"
"2401",2401," ukraine suit best think",1,"Positif"
"2402",2402,"ukraines armed forces lost soldiers since russian invasion officialsays ",-1,"Negatif"
"2403",2403,"ukraine war zelensky aide reveals wardead ",-1,"Negatif"
"2404",2404," stopped reading ukraine flag anything surprising",0,"Netral"
"2406",2406,"pellets ukraine ",0,"Netral"
"2407",2407," instructional video russians sabotage rail lines ",-2,"Negatif"
"2408",2408," guarantee spiritual independence ukraine address president volodymyr zelenskyy official website president ukraine ",2,"Positif"
"2409",2409," thank much program help government canada unfortunately husband received visa yet even applying together family recently daughters yo got visa still ukraine",1,"Positif"
"2410",2410," msmalt media dichotomy lot grey instance russianukraine status conflict usual time tell think covid escaping wuhan lab plausible got censored saying putinxi project neural net dictated strategy",0,"Netral"
"2411",2411," yes ukraine never dare attack russia without biden support control",0,"Netral"
"2412",2412," russia took ukraine march france wouldnt lifted finger absolute hypocrisy",0,"Netral"
"2413",2413," main route give priority im confused hopefully drive one day soon glory ukraine please give advice",1,"Positif"
"2414",2414,"ukraine war update bakhmut analysis ",0,"Netral"
"2415",2415,"ukraines armed forces lost soldiers since russian invasion official says world news ukraines armed force ",-1,"Negatif"
"2416",2416,"remember repugs whined incessantly gas prices uncle joes fault high didnt something well gas cheaper year ago repugs gone silent gas joe won ",0,"Netral"
"2417",2417,"ukrainian tank single handedly destroys massive russian convoy east kyiv ",-1,"Negatif"
"2418",2418," wish meet president human shake hand decent person good good minutes conversation running countrt war aging lot hes human like everyone else",3,"Positif"
"2419",2419," like euunwef ukraine",0,"Netral"
"2420",2420," cool listen enjoy spirit holiday season kids ukraine beloved city wishing peace ",2,"Positif"
"2421",2421,"selensky reveals true intention fascistns greek orthodoxy romcath papal dictatorship violation int law human rights ie freedom religion prohibition discrimination religion equality ",-2,"Negatif"
"2423",2423," ukraine flag name german football club fan american basketball team fan boy keep moving",0,"Netral"
"2424",2424," biden defunding police reform infrastructure bill addresses replacing water pipes wether republicans make happen still question nazis worried ukraine sorry putin sympathizer",-1,"Negatif"
"2425",2425," trying fight world famine exactly gave ukraine ukraine feeds europe asia africa without ukraine famine politically unstable easier russia take im one figured ",-2,"Negatif"
"2426",2426," every country hate groups every countrys corrupt years ago meaningless broken treaties meaningless borders changed history countries come gone war ",-2,"Negatif"
"2427",2427," theres report ukraine iran almost every day nz mainstream media usually reposting stuff bbc western media",0,"Netral"
"2428",2428,"ukraine war germany cover energy bills gas pricessoar ",0,"Netral"
"2429",2429,"joshuaproject pray orochi ukraine ",0,"Netral"
